,TERMO
0,FEITA
1,REDEA
2,RATOU
3,ZURRO
4,AZOES
5,PICUM
6,ADEJO
7,FELPA
8,BOLBO
9,PICAR
10,RAPEM
11,FARSA
12,CURVE
13,ESPIO
14,CUECA
15,NUBEA
16,IARAS
17,MORRE
18,XEQUE
19,GORJA
20,SEZAO
21,ASSES
22,NISSO
23,DESCO
24,ORINA
25,MUDEI
26,ALUNO
27,GRILA
28,ESPIR
29,COREM
30,POUND
31,SOTAO
32,UNHAR
33,VALER
34,MOGER
35,ITAJA
36,ACABA
37,DAMAS
38,CIOBA
39,PLUDA
40,SEVOU
41,BRISA
42,IMOLE
43,FEIOS
44,PENES
45,CAMAL
46,NINAR
47,PLUMA
48,AGUAR
49,SOADA
50,VOILE
51,ENCHE
52,JOVEM
53,EMESE
54,RIJAO
55,PANTA
56,CASOU
57,CICLO
58,LUAVA
59,UIVOU
60,FASTO
61,CINTA
62,UIBAI
63,CAPAR
64,PIEIS
65,MANJA
66,LESAO
67,VAGAO
68,DUREI
69,MIAIS
70,ALPES
71,LUXEM
72,SOADO
73,FUSIL
74,NOTEM
75,RILEX
76,RAFAM
77,PIROU
78,BONZO
79,ASSIS
80,PECAS
81,CRUDE
82,PUJAR
83,ITAJU
84,FALHE
85,GENRO
86,PISES
87,SLACK
88,CESSA
89,SAIRE
90,URINE
91,RESTO
92,GORAS
93,ADUBO
94,ALUDE
95,ORNAR
96,BUFAR
97,TIRAM
98,SOLHO
99,RASTO
100,POJAS
101,DIEGO
102,BUXAO
103,BUGAR
104,RUSGA
105,BECHE
106,MESAO
107,SARDA
108,NADIA
109,SOMEM
110,VISOM
111,POUPO
112,CIFRE
113,FEZES
114,KYZYL
115,SOVAS
116,BIMBO
117,LUZIO
118,BISAI
119,TAPAS
120,VOEJA
121,FERVE
122,IPERO
123,COICE
124,ACATA
125,SEDEX
126,MAURO
127,FASTA
128,CORVA
129,ATUAR
130,DUZIA
131,ACINO
132,RATES
133,ORFEU
134,ANUIU
135,VAGOS
136,REDIL
137,ACHAI
138,LEGAO
139,NELES
140,FRUIR
141,CONJA
142,GASTO
143,VITOR
144,TRUCO
145,ACUDI
146,LAIVO
147,SURFO
148,CAPAZ
149,VERBA
150,DESSA
151,PAEJA
152,REFIL
153,SEVAS
154,ESQUI
155,ALTOR
156,BISAM
157,FURTE
158,FERRY
159,DIODO
160,ADIES
161,BENIM
162,CHITA
163,TRENS
164,MERME
165,ALBOI
166,JAVES
167,BOMBA
168,SOFAS
169,MAMBU
170,ZLOTY
171,FASES
172,MENGO
173,REACA
174,NADEM
175,ALINA
176,BALBO
177,CELTA
178,CURIA
179,ROBOT
180,VIMOS
181,BELEM
182,CALOM
183,PAMPA
184,AONIA
185,LIDAS
186,GINOS
187,AMIAL
188,BANJO
189,PIFAR
190,ORIAO
191,MEIGO
192,GERIA
193,FELEO
194,OUGAR
195,ACOEI
196,MOTEL
197,SOLHA
198,SIPAM
199,AUTOR
200,POBRE
201,DONOS
202,SOBPE
203,LISTO
204,OBREI
205,BUGUE
206,XARDO
207,EBANO
208,CERRA
209,CHOPE
210,COUBE
211,ATRIL
212,ENVIO
213,CIGAS
214,SUADO
215,BLICA
216,TEITO
217,FIAPO
218,FORES
219,VOTAR
220,FOINA
221,FERMI
222,AMARA
223,DINAS
224,FURAM
225,CUNCA
226,RONCO
227,BUCIL
228,DIABA
229,PRIMA
230,FOICE
231,SADAO
232,POLIS
233,ABAJU
234,IRMAO
235,LANCO
236,PLENA
237,GOSTO
238,POLAS
239,OROBO
240,GALLO
241,ZORRO
242,JACOB
243,BUSAO
244,AJUDO
245,CUBAR
246,FUMEM
247,JARDA
248,GAMER
249,KUMEL
250,JOGOS
251,COZEU
252,DILUA
253,NEVOA
254,BRUNE
255,SUJEM
256,CHAMA
257,BOTEM
258,TOQUE
259,BINGO
260,SARGA
261,MUANA
262,PUXAR
263,GRAVO
264,JIQUI
265,ARERE
266,FRISO
267,CELIA
268,UTERO
269,COTIA
270,BANCO
271,MAMIS
272,DACHA
273,XIITA
274,LATAO
275,DURES
276,RAION
277,BRADO
278,GULIM
279,LETAL
280,SPORT
281,JOULE
282,BRUTO
283,PLANA
284,RENAN
285,VANDO
286,IVOTI
287,JURES
288,VEDRO
289,GAMES
290,FASOR
291,FOFOU
292,GALAM
293,TULIA
294,PAOLA
295,MATES
296,ZUNIR
297,PISCO
298,VASOS
299,JOSTA
300,ACUAM
301,JURAS
302,PROCE
303,MONJA
304,BRICA
305,LIDAR
306,ORLAS
307,DISTO
308,TREPA
309,RUIVO
310,CITAM
311,CARTA
312,CALCA
313,ENZOS
314,LIBIA
315,RELHO
316,RUADA
317,AFARO
318,PRESA
319,TOPAS
320,ALANO
321,ZOIRA
322,GALGO
323,RECTO
324,SEGRE
325,GRITA
326,BLAST
327,OUROS
328,ROMAI
329,FICAR
330,SISMO
331,LIBAM
332,PASSO
333,SOVAI
334,ABRIS
335,XEBRE
336,ENZAS
337,GANES
338,PAGAR
339,VESTA
340,BEIJU
341,PARIO
342,CORAR
343,TRIAL
344,CHUPA
345,TELOS
346,FOLHO
347,ABRIU
348,PONTE
349,SHORT
350,ALVEO
351,RUMEI
352,SELIM
353,GRELO
354,TALHA
355,ASNOS
356,GAIOS
357,POLAR
358,DEDOS
359,TAXEI
360,PUTAS
361,TIBIA
362,LEQUE
363,JUCAS
364,ALIAS
365,BIOTA
366,MACAS
367,ABAJA
368,ARPAO
369,PUBIS
370,INALA
371,RUGBI
372,CAFRA
373,BONGO
374,SUAJO
375,TOJAL
376,PIRAR
377,FAZIA
378,MOXAO
379,HINDU
380,BEIRA
381,ERREM
382,MIGRE
383,BRENA
384,GIROS
385,CULPA
386,TRAEM
387,GAMAO
388,TILIA
389,GROTA
390,ICONE
391,BEIJA
392,FROCO
393,SAFOS
394,JUNGO
395,ACIMA
396,GOLAO
397,KAWAN
398,MIKIR
399,TORCO
400,PRETA
401,BIRAO
402,TIRSO
403,FUMAM
404,CANTO
405,RAMAM
406,NADAS
407,TERMA
408,ANAGE
409,PAVOA
410,SONHO
411,HOTEL
412,ROSEA
413,RAIAR
414,TACHO
415,ANTEU
416,PERCA
417,TREPE
418,AVAIS
419,POITE
420,PRIME
421,FINCA
422,VARGE
423,CAMAS
424,OPCAO
425,FUNAR
426,FETAL
427,PORRA
428,LOURO
429,CRESO
430,PAIVA
431,VULTO
432,ARDIL
433,DAVAM
434,PICHE
435,GAFFE
436,PIOLA
437,CHADA
438,CRIAS
439,ACABE
440,INCHA
441,VESGO
442,VELHO
443,BRIOL
444,CHIAO
445,IMUNE
446,NUDES
447,IDAHO
448,DOGMA
449,FRONT
450,SILTE
451,BABAM
452,LASER
453,LUXOU
454,TALHE
455,NESTE
456,VOTEM
457,LERIA
458,MINHA
459,QUATI
460,PROIS
461,CREDO
462,TUNDA
463,DEUSA
464,CHIPE
465,SELIC
466,PENAR
467,FRADE
468,ALMAS
469,MIEIS
470,ACUSO
471,CABOZ
472,RIMAR
473,EQUOS
474,EMANO
475,LUVAS
476,ADITO
477,HUSMA
478,BRABO
479,BESTE
480,JEJUO
481,PARCA
482,PECAR
483,TWEED
484,JOICE
485,CAIDA
486,SKIFF
487,ZUPAR
488,FARRA
489,GOZAR
490,SACRO
491,ERETO
492,AMEIA
493,BOTON
494,EFODE
495,LEGAR
496,PAREA
497,RAMOU
498,PATIO
499,SABRA
500,TOCAM
501,XAMPU
502,CALOR
503,CARMO
504,FIXAR
505,FOSCO
506,MOTTA
507,PIAUI
508,ADULE
509,SACHO
510,DIZER
511,REZEI
512,ADORA
513,SUJAI
514,CATAI
515,VISTO
516,BROTA
517,AROLA
518,ALMOS
519,CALMO
520,DINIS
521,LOICA
522,MADRI
523,EIVAR
524,ANINO
525,VIADA
526,ALBAS
527,KNYAZ
528,JALNE
529,SESMA
530,VOTAS
531,PADEL
532,ANDOA
533,CIAOS
534,MALVO
535,IGNEO
536,CURVO
537,VISAR
538,ARNAL
539,JIPAO
540,PINCA
541,NEGRA
542,SOVEI
543,PARCO
544,TOSAR
545,FELIX
546,ENCHO
547,OCARA
548,ACUDE
549,GUNGA
550,TREUS
551,XAZAM
552,TEMIA
553,ANCIA
554,AFETE
555,AORTA
556,VOCAL
557,LARVA
558,BANES
559,BIOMA
560,BLEFE
561,ARECA
562,OBREM
563,ABARA
564,VURMO
565,CITAR
566,BROAR
567,GOZES
568,MONDA
569,GARFA
570,COMBE
571,PINEL
572,TRENA
573,DAKAR
574,BANIA
575,JOVES
576,MOROU
577,HIATO
578,ITABI
579,CANHA
580,COBRO
581,COIFA
582,SOEIS
583,AMAPA
584,SADRA
585,SAREM
586,LUISA
587,HERTZ
588,SERVI
589,LEPTO
590,FADOS
591,LATER
592,DOIAS
593,EDNAS
594,BANZA
595,AUREO
596,ACOLA
597,GIRIA
598,BUSCA
599,AERAR
600,CAUDA
601,ZEILA
602,CIOSO
603,BANAS
604,SEIRA
605,MOADA
606,AREAR
607,PROAS
608,HIDRA
609,POJAR
610,BISAO
611,CHUTA
612,AECIA
613,FOFIS
614,MUAFO
615,MUNIO
616,FALOU
617,CUMIO
618,TINIR
619,DRONE
620,TUTAI
621,HAVER
622,FOMES
623,ORCAR
624,AFILO
625,CARLA
626,COMES
627,ARAXA
628,VOCES
629,AVIAO
630,CISTA
631,ALGOL
632,JAVRO
633,GOREM
634,RAPOU
635,OESTE
636,SIGNO
637,TETRO
638,LIVRE
639,TOCOU
640,CABIS
641,CASSE
642,ALTAI
643,LAVOR
644,NIPOA
645,TOPAR
646,POSSO
647,MIUDA
648,HOBBY
649,PIFIO
650,TUTEI
651,AMBAR
652,INCOO
653,MULSO
654,ANION
655,CACAO
656,ANOIA
657,VERDE
658,CHULA
659,MINAS
660,NIELO
661,SANEI
662,APELA
663,FANTA
664,GRAXO
665,ACHEM
666,PABLO
667,SORCA
668,ARANA
669,VERGA
670,DISEL
671,BROXO
672,IBOGA
673,VANDA
674,LACEI
675,CUMIM
676,BOATO
677,ANIME
678,ACEJO
679,TURCO
680,INDIE
681,MATAS
682,ARCAO
683,NASCE
684,PIRRO
685,ILHAR
686,ZICHA
687,PURAS
688,PENSE
689,VIDES
690,ANDOU
691,UISTE
692,TESTA
693,ASSEI
694,EGIDE
695,BASTA
696,LOTAI
697,VALHA
698,BATOM
699,SULCA
700,LUDRE
701,ALGUA
702,NAQUE
703,MEDRO
704,QUASE
705,ROMEI
706,GALHA
707,MOCAS
708,MINOS
709,MOLDE
710,TUTIA
711,MORRO
712,GUICO
713,MOSTO
714,TAMIA
715,NUNCA
716,FUSTA
717,ROJAR
718,AGUIA
719,PIAVA
720,CUROU
721,LESTO
722,HASHI
723,COEIS
724,GANGA
725,RATAS
726,BASAL
727,TANCA
728,OREAR
729,NONDE
730,ALUIR
731,CROMO
732,RASPA
733,MENIR
734,APAGE
735,TEDIO
736,DERAM
737,MUDAI
738,AFULO
739,DOADA
740,FIBRA
741,JUMBO
742,BERCE
743,BULAR
744,CANOS
745,RIFLE
746,FIXAI
747,SUBAM
748,CAMBA
749,TROFA
750,TROPA
751,COROA
752,ROLAR
753,POVOS
754,ATROO
755,RUIDE
756,OROMO
757,SISTO
758,BLOGA
759,SABOR
760,BIFAR
761,PREBE
762,SHOYU
763,GLOSA
764,CRATO
765,REMIX
766,RAPEI
767,QUARO
768,LIDEI
769,VERSE
770,SEVAI
771,PEINA
772,CALAS
773,TALHO
774,DEPRE
775,CARMA
776,NIMBO
777,BOTAO
778,BANTU
779,FINDA
780,ALVIM
781,RIJAR
782,ALIJO
783,PORAO
784,WAUJA
785,VOTES
786,MIMAR
787,SONHA
788,IROSA
789,ESTAS
790,NEGUS
791,MORMO
792,COMUA
793,RUPIA
794,GUIDO
795,MOFOU
796,MUROS
797,FAUCE
798,ESTOU
799,HUNAN
800,OPTES
801,NINAI
802,SOFIO
803,ULPIO
804,TOPEI
805,ABARE
806,DADOS
807,UNIDO
808,IMAGO
809,VENTA
810,BUSES
811,IBIAM
812,BEMOL
813,ASADA
814,RIFAO
815,REMOS
816,GEMER
817,LORPA
818,NACAR
819,CAUTO
820,MORNO
821,UMERO
822,SKATE
823,ERGUE
824,ISOLA
825,SAREI
826,VIADO
827,FUMAR
828,ITACA
829,LUAIS
830,JUCHE
831,ACUAS
832,NOJAR
833,REGAR
834,ODEAO
835,ROLHA
836,NIMIO
837,COIME
838,DIANA
839,PONDE
840,IRADO
841,SALGA
842,GREGO
843,GACHA
844,ALTOS
845,QUICA
846,GETAS
847,JACUI
848,SAIDO
849,NUVRE
850,RAZIA
851,SOCIO
852,IACRI
853,REVES
854,PALAU
855,FALDA
856,CUNCO
857,DEQUE
858,CULPO
859,VERME
860,RAMEI
861,AFORA
862,CRIEI
863,FORRE
864,NINOU
865,SALAR
866,XOUVA
867,ACHEM
868,SARDO
869,GURIA
870,PREAO
871,XEREM
872,RACAO
873,QUEPE
874,SHEIK
875,ORNOU
876,BASTE
877,BORDA
878,TUNEL
879,CUREI
880,BETAO
881,VESTI
882,SOLES
883,ACUSA
884,SEXOS
885,POSSA
886,CEIFE
887,NINES
888,ROIDO
889,OMBRO
890,VAIAR
891,COUSA
892,BRAVU
893,ALFIM
894,ACULO
895,LIMOU
896,DURAI
897,JANTO
898,BLOCO
899,ROSAL
900,SENRA
901,SIOUX
902,NAICE
903,NACEM
904,ECLER
905,MODEM
906,TOMOU
907,MENDA
908,TILAR
909,DARCI
910,FERVO
911,FALAZ
912,TISSU
913,AMAVA
914,TEMAO
915,SUJES
916,HORUS
917,INGUA
918,CANSE
919,MURAR
920,RATEI
921,GAROA
922,BANAL
923,FIOTE
924,ENTRO
925,DESAR
926,SOLAR
927,VELAR
928,DURAR
929,MELRA
930,ZAMBA
931,POUPE
932,JAVRA
933,JURAM
934,POMES
935,SILHA
936,SESTA
937,SOGRA
938,ZOEIA
939,ERBIO
940,NITRO
941,CISCO
942,CRACK
943,AURIR
944,CORAI
945,RIGOR
946,LAVRE
947,NEDIO
948,DALEM
949,DEVER
950,NAIRA
951,STAFF
952,PRESE
953,OUSAS
954,TANAS
955,ELISE
956,ALALA
957,ARCHA
958,GOTAS
959,VIGIE
960,MEADA
961,NEDIA
962,VELEM
963,VIAJO
964,PRAXE
965,SAVEL
966,PULAR
967,HADJI
968,ATADO
969,ARACU
970,FACHO
971,HURRA
972,BORLA
973,TOMBE
974,TITIO
975,PARGO
976,ANDOR
977,AMIGA
978,CERCA
979,POMOS
980,BRICS
981,MACOM
982,ANINE
983,CIRRO
984,ZUCAR
985,MIRAM
986,MOEGA
987,BICAL
988,JEIRA
989,TINHA
990,BANHO
991,ORFAS
992,AGATO
993,BARRE
994,IXORA
995,BOMBO
996,ARMEM
997,AZULE
998,NILZA
999,MORTE
1000,VERGE
1001,TIAGO
1002,ZUNIA
1003,ROLDE
1004,DOLMA
1005,IPUBI
1006,MALHA
1007,ROUCO
1008,CHOCO
1009,BOLSA
1010,TRETA
1011,MITIA
1012,AMUAR
1013,FLUOR
1014,ARMAR
1015,TRAJE
1016,SOBES
1017,ALABE
1018,EREVA
1019,TIREI
1020,DRUSO
1021,BIVIO
1022,LOULE
1023,CORAM
1024,CUDAR
1025,AJUGA
1026,CHORA
1027,DANOU
1028,COMAL
1029,BLUFF
1030,BATER
1031,MORDE
1032,VIVAS
1033,OBSTE
1034,JAPOA
1035,COALA
1036,AJUDE
1037,SAGUI
1038,JUREM
1039,BAMBE
1040,HOSTE
1041,CLAVA
1042,BOCHO
1043,BROXE
1044,TATIL
1045,SUJAR
1046,BUTES
1047,FANAR
1048,JEJUE
1049,TAIGA
1050,ALOES
1051,FORAL
1052,LESMA
1053,EXITO
1054,GLEBA
1055,LAZER
1056,FIXEI
1057,TESAR
1058,SUPOR
1059,TREPO
1060,DORAS
1061,CHOER
1062,SAUNA
1063,STAND
1064,VARGA
1065,VALIA
1066,VISGO
1067,URUPE
1068,NEGUE
1069,LATAR
1070,EDITE
1071,GORAR
1072,GERIR
1073,SUGAR
1074,VENHO
1075,DRUPA
1076,SEIBE
1077,RADON
1078,PARBA
1079,CRICA
1080,CERNE
1081,ZINGA
1082,PIORA
1083,FOSSA
1084,NOXIO
1085,ENDRO
1086,TITIA
1087,LORDA
1088,NALGO
1089,TAISE
1090,ONDAS
1091,BALIU
1092,DOEIS
1093,ACESA
1094,SEXTA
1095,EMICO
1096,ACUAR
1097,BLITZ
1098,BARGA
1099,RAMAS
1100,FRIOS
1101,FUNGO
1102,GOLFO
1103,ZURRE
1104,LETRA
1105,AJERU
1106,VARIZ
1107,FEMEA
1108,PUARA
1109,SUAVE
1110,MORNA
1111,JEGRE
1112,BISMA
1113,MATIZ
1114,BACAR
1115,AECIO
1116,VESPA
1117,OTAVA
1118,CURTA
1119,TAFUL
1120,AMBAS
1121,BREGA
1122,CETUS
1123,PETRA
1124,LITIO
1125,SOAJO
1126,ANDRE
1127,PINTA
1128,ADITE
1129,MUDOU
1130,ROSAR
1131,SILAS
1132,LOTES
1133,HIGOR
1134,VALAR
1135,BEIGE
1136,NERIO
1137,AFIXO
1138,TELAO
1139,FECHO
1140,SEVEM
1141,RUMAM
1142,JOSES
1143,RECUO
1144,GONZO
1145,TELHO
1146,CORTO
1147,CPMIS
1148,PAPUS
1149,DEBUT
1150,MORSA
1151,NUMAS
1152,LAVEI
1153,TOXIA
1154,ALBUM
1155,MINAR
1156,ACTEL
1157,VIUVO
1158,MAPLE
1159,OBRAS
1160,CUSPO
1161,JATAI
1162,ARMAS
1163,MEDIR
1164,TOPAM
1165,CASES
1166,BLASE
1167,AGINA
1168,DETOX
1169,OIRAR
1170,SUSAO
1171,CONHA
1172,ROSTO
1173,BASAA
1174,MANTA
1175,COVIL
1176,NHAMA
1177,ARADO
1178,TEIXO
1179,DIGNA
1180,TOSCO
1181,IMPIO
1182,NOITE
1183,BULAS
1184,GOFRE
1185,APARO
1186,NENIA
1187,CARAA
1188,ARMES
1189,VOGAM
1190,SANDE
1191,IAMOS
1192,CACHA
1193,FUTRE
1194,RIJOS
1195,SURRA
1196,ORNAM
1197,MIOLO
1198,AVISO
1199,PENSA
1200,NODOA
1201,CORAO
1202,TUTOR
1203,ARGOS
1204,FALIR
1205,CORPO
1206,DUMAS
1207,TASCO
1208,TROLL
1209,MIOTO
1210,KENDO
1211,XOTES
1212,VAZOU
1213,CORAL
1214,ARAMA
1215,COCAL
1216,CRASE
1217,PUXES
1218,MOLHO
1219,SONDA
1220,LOIRA
1221,PILES
1222,AFIAR
1223,AGINO
1224,NANCI
1225,SURDA
1226,ARCAS
1227,LENTE
1228,ERROR
1229,MINEI
1230,VELOZ
1231,CRECE
1232,SUNDA
1233,TIRAI
1234,MOLAR
1235,AINDA
1236,HAKKA
1237,SUJAM
1238,CASAS
1239,IBERO
1240,FITAS
1241,GANCA
1242,AMENO
1243,ARFAR
1244,VIRIA
1245,CARTE
1246,CATEI
1247,VARES
1248,MANDA
1249,PICUI
1250,ENDEZ
1251,CABRA
1252,NESGO
1253,MECHA
1254,VAROA
1255,RUMBA
1256,REGER
1257,TREME
1258,SEJAS
1259,EXUMO
1260,SARAO
1261,METIE
1262,PITAO
1263,RECEM
1264,AMPLO
1265,PEDIR
1266,CHUFA
1267,IRMAS
1268,PAPAR
1269,CAUES
1270,HIMEN
1271,SAROU
1272,ATROA
1273,BOTEI
1274,REZAM
1275,OPERA
1276,SUTIA
1277,JOLDA
1278,LENHA
1279,MURRO
1280,ATAVA
1281,CARIL
1282,VAZAS
1283,CANAA
1284,MANDO
1285,VAGEM
1286,LHAMA
1287,CIDRA
1288,VACAO
1289,ILUDE
1290,CLOTO
1291,ABOBE
1292,CUSTE
1293,JAGRE
1294,NINEM
1295,SORTE
1296,SOMOS
1297,RAJAR
1298,BROTO
1299,VINHO
1300,ZUATE
1301,CAUTA
1302,PERUS
1303,CERRE
1304,MENOS
1305,DUERE
1306,BOSON
1307,MURCO
1308,DIADE
1309,CAGAO
1310,NOTAS
1311,RODAM
1312,RISCO
1313,DANAM
1314,DOAIS
1315,INGAI
1316,REIMA
1317,VIBRA
1318,AIPIM
1319,FOTAO
1320,TECNO
1321,URINA
1322,PAPAL
1323,DOBRE
1324,XUCRO
1325,RAMAO
1326,JINES
1327,AROMO
1328,FACIL
1329,ABIBE
1330,FOROS
1331,PIADA
1332,ILIBE
1333,LACHO
1334,CUTIS
1335,LIGAR
1336,TENOR
1337,COCHO
1338,ADOBE
1339,VAREI
1340,TELEI
1341,RAPAR
1342,AMBOS
1343,CARRO
1344,XANGO
1345,ICATU
1346,PINHO
1347,FUNDO
1348,LAVAM
1349,JUNOS
1350,MOREI
1351,BRIDA
1352,GELHA
1353,COPIE
1354,DUPLO
1355,CURVA
1356,DOROS
1357,VIUVA
1358,CRISE
1359,ZAINO
1360,BISES
1361,RABAT
1362,GIRES
1363,POLEN
1364,ALIEN
1365,NACAO
1366,JETON
1367,BILAO
1368,FALEI
1369,MONHA
1370,TOLDO
1371,ORNIS
1372,RENDE
1373,TSADE
1374,GAJAO
1375,TEIMA
1376,PUDOR
1377,GUINA
1378,UAURA
